Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
CORNERST,Cornerstone Insurance PLC,5.6,NGN,-9.677419354838717,2082008,0.9294904304818831,111906969214,NGN,11.630321910695741,0.4815,NGN,-65.46158812136862,4.35483870967742,Finance,No rating
VFDGROUP,VFD Group PLC,13.8,NGN,0,2085912,0.5924089109443181,104895108676,NGN,15.67469332121763,0.8804,NGN,18.876586551444763,2.71289855072464,Finance,No rating
UPDC,UPDC Plc,5.3,NGN,1.9230769230769162,423424,0.10936331994789084,102079838867,NGN,82.42612752721618,0.0643,NGN,175.96566523605145,0.181818181818182,Finance,No rating
IKEJAHOTEL,Ikeja Hotel PLC,41.9,NGN,0,815801,0.5583667020567691,90603208915,NGN,,,,,0.572792362768496,Consumer services,No rating
MBENEFIT,Mutual Benefits Assurance PLC,5.42,NGN,9.939148073022318,35052485,1.1556403621520794,90074429119,NGN,5.431950290639406,0.9978,NGN,86.8889305113317,0.44543429844098,Finance,No rating
CAP,Chemical & Allied Products Plc,100.05,NGN,0,120985,0.2480740098569358,81515489617,NGN,13.337510331404804,7.5014,NGN,54.226032607578276,2.39880059970015,Process industries,No rating
WAPIC,Coronation Insurance Plc,3.35,NGN,4.3613707165109075,4189937,1.362812882880149,77013292712,NGN,,,,,0,Finance,No rating
ETERNA,Eterna PLC,32,NGN,0,455764,0.45571833702263026,73032093750,NGN,19.916599240679655,1.6067,NGN,,0,Energy minerals,Strong sell
MAYBAKER,May & Baker Nigeria Plc,39,NGN,-2.5,889283,0.35474034588582887,69009399414,NGN,15.09346336932544,2.5839,NGN,174.99999999999997,1,Health technology,No rating
AFRIPRUD,Africa Prudential Plc,15.85,NGN,-0.6269592476489007,1551348,0.4183800963061603,63200000763,NGN,25.09897070467142,0.6315,NGN,75.2219755826859,2.53164556962025,Technology services,No rating
CWG,CWG Plc,23,NGN,4.545454545454546,3342674,0.9078602783282748,55546175781,NGN,,,,,1.77272727272727,Technology services,No rating
INFINITY,Infinity Trust Mortgage Bank Plc,15.75,NGN,9.756097560975613,201029,0.7183237243106785,54424445937,NGN,,,,,1.60919540229885,Finance,No rating
ELLAHLAKES,Ellah Lakes Plc,13.75,NGN,-1.0791366906474844,3130976,0.39698520707159446,54400252448,NGN,,-0.4103,NGN,-39.605307927866626,0,Process industries,No rating
LINKASSURE,Linkage Assurance PLC,1.75,NGN,0,826207,0.08480027924190243,52976000881,NGN,7.7985739750445635,0.2244,NGN,-6.108786610878663,0,Finance,No rating
CONHALLPLC,Consolidated Hallmark Holdings Plc,5.09,NGN,1.7999999999999972,504981,0.10089041035132203,52032002068,NGN,,,,,,Finance,No rating
NEIMETH,Neimeth International Pharmaceuticals PLC,12.45,NGN,5.063291139240503,1055631,0.15976608002686465,50208977783,NGN,52.59822560202788,0.2367,NGN,,0,Health technology,No rating
JAPAULGOLD,Japaul Gold & Ventures PLC,4.02,NGN,9.836065573770476,6213864,0.1604700869296126,47494797066,NGN,,,,,1.2012012012012,Transportation,No rating
CHAMS,Chams Holding Company Plc,4.2,NGN,0,3431557,0.09874190884428458,37799998283,NGN,41.2573673870334,0.1018,NGN,-11.555169417897474,0,Technology services,No rating
SOVRENINS,Sovereign Trust Insurance PLC,2.6,NGN,1.1673151750972859,2988216,0.2417508935985682,36424034186,NGN,46.34581105169341,0.0561,NGN,-65.89665653495442,1.953125,Finance,No rating
EUNISELL,Eunisell Interlinked Plc,143.95,NGN,0,518765,2.716866447682652,34072893550,NGN,1172.2312703583061,0.1228,NGN,-92.24894275074165,0,Producer manufacturing,No rating
NPFMCRFBK,NPF Microfinance Bank PLC,5.7,NGN,3.63636363636364,3031125,0.9368255157628379,32961129395.000004,NGN,8.477096966091612,0.6724,NGN,155.95736581652076,2.72727272727273,Finance,No rating
LIVINGTRUST,LivingTrust Mortgage Bank PLC,6.55,NGN,0.15290519877675515,1964748,0.4909544348841954,32699999809,NGN,,,,,1.22324159021407,Finance,No rating
VERITASKAP,Veritas Kapital Assurance Plc,2.45,NGN,0.8230452674897125,3186847,0.12363868034081718,32586666109,NGN,3.0050288237458607,0.8153,NGN,,0,Finance,No rating
REDSTAREX,Red Star Express PLC,31.95,NGN,0,683691,0.454997178607677,30493826436,NGN,32.16227098852426,0.9934,NGN,143.48039215686273,1.09546165884194,Transportation,No rating
CUTIX,Cutix PLC,3.93,NGN,-1.749999999999996,2478784,0.17528539836971788,28181152344,NGN,33.76288659793814,0.1164,NGN,-27.15894868585732,2.5,Producer manufacturing,No rating
IMG,Industrial and Medical Gases Nigeria PLC,37.5,NGN,0,294547,3.0058944910592764,27414910126,NGN,23.22844400396432,1.6144,NGN,-41.43085183572776,1.76308533333333,Process industries,No rating
LASACO,Lasaco Assurance PLC,2.41,NGN,-3.2128514056224926,1870977,0.2992646683997146,25935590142,NGN,,-27.72,NGN,-2628.0437756497945,0,Finance,No rating
TANTALIZER,Tantalizers PLC,5.01,NGN,1.0080645161290287,3326665,0.09501145757354772,25099999905,NGN,500.99999999999994,0.01,NGN,,0,Consumer services,No rating
SUNUASSUR,SUNU Assurances Nigeria Plc,4.65,NGN,8.139534883720943,684770,0.37422129678059946,24986440268,NGN,15.019379844961243,0.3096,NGN,-50.14492753623189,2.32558139534884,Finance,No rating
SCOA,SCOA Nigeria PLC,38.15,NGN,0,273082,1.5500249462053104,24790850821,NGN,72.66666666666666,0.525,NGN,-42.86025250326512,0,Consumer durables,No rating
FTNCOCOA,FTN Cocoa Processors Plc,6.35,NGN,8.547008547008547,740583,0.1717730385845057,24764999628,NGN,,-0.0006,NGN,99.97544606318547,0,Process industries,No rating
CAVERTON,Caverton Offshore Support Group Plc,7.2,NGN,-1.3698630136986254,614738,0.190479696265171,24123669673,NGN,,-3.3819,NGN,79.26512243871933,0,Transportation,No rating
UNIVINSURE,Universal Insurance Plc,1.42,NGN,-1.3888888888888902,288528,0.01755195328715969,23520000458,NGN,5.053380782918149,0.281,NGN,,0,Finance,No rating
